Cloudy,Sprinkler,Rain,WetGrass
11.309932474,0.0,-49.398705355,89.4270613023
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,0.0
11.309932474,68.1985905136,0.0,0.0
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,68.1985905136,-49.398705355,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,89.4270613023
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,0.0,-89.8854085938
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,-11.309932474,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,0.0
0.0,-73.300755766,30.9637565321,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,89.4270613023
0.0,-73.300755766,-11.309932474,-89.8854085938
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,68.1985905136,0.0,0.0
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,76.8659776936,-11.309932474,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,-73.300755766,-11.309932474,-89.8854085938
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,-73.300755766,30.9637565321,0.0
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,0.0,-89.8854085938
11.309932474,68.1985905136,0.0,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,-11.309932474,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,0.0
0.0,-73.300755766,30.9637565321,0.0
11.309932474,0.0,-49.398705355,0.0
0.0,-73.300755766,30.9637565321,89.4270613023
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,0.0
11.309932474,68.1985905136,0.0,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,76.8659776936,-11.309932474,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,68.1985905136,-49.398705355,66.7112746165
11.309932474,0.0,-49.398705355,89.4270613023
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,89.4270613023
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,89.4270613023
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,89.4270613023
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,68.1985905136,-49.398705355,66.7112746165
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,68.1985905136,-49.398705355,66.7112746165
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,0.0,-89.8854085938
11.309932474,0.0,0.0,-89.8854085938
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,89.4270613023
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,89.4270613023
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,89.4270613023
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
11.309932474,0.0,-49.398705355,89.4270613023
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,-73.300755766,30.9637565321,89.4270613023
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,-11.309932474,0.0
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,89.4270613023
0.0,-73.300755766,-11.309932474,-89.8854085938
0.0,76.8659776936,-11.309932474,0.0
11.309932474,68.1985905136,-49.398705355,66.7112746165
0.0,76.8659776936,30.9637565321,66.7112746165
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,76.8659776936,30.9637565321,66.7112746165
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,89.4270613023
0.0,76.8659776936,-11.309932474,0.0
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,89.4270613023
0.0,-73.300755766,30.9637565321,0.0
11.309932474,0.0,-49.398705355,0.0
11.309932474,0.0,-49.398705355,89.4270613023
11.309932474,0.0,0.0,-89.8854085938
